$ 5 6 3 $ 7 8 2 $ 
$ 3 4 2 1 8 $ 5 6 
$ $ $ 5 $ 9 7 $ $ 
6 9 $ 4 7 $ $ 8 2 
4 7 3 $ 8 $ 6 $ 5 
1 $ 2 6 9 5 4 7 3 
5 $ 9 $ 3 4 2 1 8 
3 $ 7 8 2 1 5 6 9 
$ 1 8 9 5 6 $ 4 7 
------- 0 -------
6 $ 5 9 1 3 $ $ 4 
$ 8 2 7 5 6 $ $ 3 
$ $ 1 $ 2 $ $ $ 6 
5 $ 7 $ 3 9 2 4 $ 
2 $ 8 5 6 $ 1 3 $ 
1 3 9 2 4 8 $ $ $ 
$ 5 6 $ 9 $ 4 $ 2 
8 $ $ $ $ $ $ 9 $ 
$ $ 3 $ 8 2 $ 7 5 
------- 0 -------
8 1 4 $ $ $ 9 $ $ 
$ $ $ $ $ 4 $ $ $ 
$ $ 5 9 7 $ $ $ $ 
$ 4 8 $ 5 $ 7 $ 9 
$ 3 9 $ $ 8 6 $ $ 
6 $ 2 $ $ $ 1 4 $ 
4 $ 1 5 $ 6 $ 9 $ 
$ 9 $ 4 $ $ 5 $ 6 
5 $ $ $ $ 7 4 8 1 
------- 0 -------
